brand,0,1,2,3,4,5,6,7,8
R&B,VivoCity,1 Harbourfront Walk,#B2-23 (in FairPrice Xtra),Singapore 098585,Operating Hours:,11am - 9pm daily,,,
R&B,Toa Payoh Hub,470 Toa Payoh Lorong 6,Level 1 Kiosk,Singapore 310470,Operating Hours:,Sun - Thu: 11am - 9pm,Fri - Sat: 11am - 9:30pm,,
R&B,The Shoppes @ Marina Bay Sands,10 Bayfront Avenue,#B2-50 (in Rasapura Masters),Singapore 018956,Operating Hours:,Sun - Thu: 11am - 9:30pm,Fri - Sat: 11am - 10pm,,
R&B,HarbourFront Centre,1 Maritime Square,#01-K9,Singapore 099253,Operating Hours:,11am - 9pm daily,,,
1983NY,AMK ITE,2 Ang Mo Kio Drive,"#02-10, Blk F",Singapore 567720,Operating Hours:,8am - 7pm (Mon - Fri),"Closed on Sat, Sun and PH",,
1983NY,Republic Polytechnic,9 Woodlands Avenue 9,South Food Court Level 2,Singapore 738964,Operating Hours:,6am - 7.30pm (Mon - Fri),7am - 2pm (Sat),Closed on Sun and PH,
Supertea,Millenia Walk,9 Raffles Boulevard,#01-75,Singapore 039596,Operating Hours:,11am - 9pm daily,,,
1983CT,Benoi (FairPrice Hub),1 Joo Koon Circle,#02-32/33,Singapore 629117,Operating Hours:,8am - 9pm daily,,,
1983CT,Changi General Hospital,2 Simei Street 3,#01-09,Singapore 529889,Operating Hours:,24 Hours daily,,,
Elemen,Harbourfront Centre,"1 Maritime Square,",#02-85,Singapore 099253,Operating Hours:,Lunch: 11.30am to 4.00pm,(last order at 3pm),Dinner: 5.30pm to 10pm,(last order at 9pm)
Elemen,Paya Lebar Quarter,10 Paya Lebar Road,#03-13,Singapore 409057,Operating Hours:,Lunch: 11:30am-4pm,(last order 3pm),Dinner: 5:30pm-10pm,(last order 9pm)
Elemen,Millenia Walk,9 Raffles Boulevard,#01-75A/76 Millenia Walk,Singapore 039596,Operating Hours:,Lunch: 11.30am to 4.00pm,(last order at 3pm),Dinner: 5.30pm to 10pm,(last order at 9pm)
Elemen,Elemen Classic @ Great World City,"1 Kim Seng Promenade, #01-122",Singapore 237994,Operating Hours:,Lunch: 11.30am to 4pm,(last order at 3pm),Dinner: 5.30pm to 10pm,(last order at 9pm),
Grove,SingPost Centre,10 Eunos Road 8,#01-151,Singapore 408600,Operating Hours:,8am - 9pm daily,,,
Grove,Singapore Management University,70 Stamford Road,#01-21 Li Ka Shing Library,Singapore 178901,Operating Hours:,Mon to Fri: 7:30am - 7pm,"Sat, Sun & PH: Closed",,
Grove,Canberra Plaza,133 Canberra View,#01-19,Singapore 750133,Operating Hours:,8am - 9pm daily,,,
